size,option,capacity,avg_time_sec
tiny,unopt,N/A,0.0005678
tiny,opt,4096,0.0005574
tiny,opt,8192,0.0007172
tiny,opt,16384,0.0006257999999999999
small,unopt,N/A,0.006808600000000001
small,opt,4096,0.0051827999999999996
small,opt,8192,0.0040224
small,opt,16384,0.0063196
med,unopt,N/A,0.055288000000000004
med,opt,4096,0.032602599999999995
med,opt,8192,0.030772
med,opt,16384,0.0307956
huge,unopt,N/A,82.5121808
huge,opt,4096,15.1937498
huge,opt,8192,70.1193976
huge,opt,16384,73.689952
